Date,Open,High,Low,Close,Volume
11/4/2022,26.6,27.03,25.34,26.51,"4,137,984"
11/3/2022,26,27.29,26,26.29,"3,384,428"
11/2/2022,27.9,28.75,26.5,26.62,"4,143,900"
11/1/2022,29.4,29.69,27.62,28.39,"5,147,499"
10/31/2022,31.22,34.99,27.91,28.31,"24,027,609"
10/28/2022,26.88,28.79,26.42,28.17,"8,089,647"
10/27/2022,25.75,26.33,25.2,25.93,"2,422,933"
10/26/2022,26.37,27.48,25.32,25.42,"3,866,779"
10/25/2022,24.82,27.79,24.8,26.87,"7,791,571"
10/24/2022,25,25.19,24.11,24.71,"3,114,308"
10/21/2022,24.15,25.33,24.1,25.3,"3,036,299"
10/20/2022,24.65,25.45,24.07,24.41,"5,148,627"
10/19/2022,26,26.18,24.27,24.54,"5,318,442"
10/18/2022,27.1,27.74,26.13,26.67,"4,402,577"
10/17/2022,25.37,26.41,25.24,25.96,"3,172,241"
10/14/2022,25.77,26.37,24.63,24.63,"2,778,436"
10/13/2022,24.42,26.59,23.91,25.56,"3,516,164"
10/12/2022,25.96,26.89,25.27,25.36,"3,284,353"
10/11/2022,24.87,26.3,23.95,25.27,"4,195,897"
10/10/2022,25.37,26.5,24.75,25,"2,917,594"
10/7/2022,25.84,25.84,24.42,25.35,"3,270,565"
10/6/2022,26.29,27,25.8,25.99,"2,418,721"
10/5/2022,26.77,26.98,25.43,26.39,"2,986,448"
10/4/2022,25.95,27.83,25.95,27.6,"4,581,855"
10/3/2022,25.14,25.63,24.21,25.38,"2,653,852"
9/30/2022,25.03,25.82,24.44,25.13,"3,148,331"
9/29/2022,27.08,27.69,24.69,25.46,"4,118,215"
9/28/2022,25.89,27.5,25.62,27.31,"2,630,051"
9/27/2022,25.47,26.39,25.13,26.13,"4,487,179"
9/26/2022,24.66,25.87,24.12,24.48,"3,440,279"
9/23/2022,24.15,25.15,24.06,25.04,"3,622,430"
9/22/2022,27.17,27.27,24.38,24.7,"4,346,547"
9/21/2022,27.45,28.99,26.77,26.86,"3,859,156"
9/20/2022,29.28,29.33,27.18,27.54,"3,145,901"
9/19/2022,28.34,29.65,28.15,28.96,"3,403,984"
9/16/2022,28.33,28.8,27.78,28.64,"4,656,038"
9/15/2022,27.86,29.07,27.86,28.61,"3,329,490"
9/14/2022,27.56,28.45,26.65,28.13,"3,605,752"
9/13/2022,27.4,28.61,27.32,27.85,"3,657,164"
9/12/2022,29.03,30.34,28,29.24,"6,175,210"
9/9/2022,26.3,29.08,26.1,28.92,"7,916,490"
9/8/2022,25,26.74,24.07,25.83,"14,142,210"
9/7/2022,24.73,25.19,23.42,24.04,"12,504,680"
9/6/2022,25.75,26.72,24.67,25.14,"7,010,190"
9/2/2022,28.26,28.74,26.93,27.36,"4,680,123"
